level,agent_name,weight_file,difficulty,obstacles,run_id,reward,steps,collisions,success
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,9,-19982.0,1000,5,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,20,-52000.0,1000,17,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,21,-12568.0,1000,5,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,22,-32400.0,1000,11,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,23,-22176.0,1000,10,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,24,-40185.0,1000,13,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,25,-22771.0,1000,9,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,26,1897.0,233,0,1
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,27,-969.0,1000,0,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,28,-190475.0,1000,1,0
Level_1,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,0,0,29,-20982.0,307,7,0
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,20,-20402.0,534,3,0
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,21,-159070.0,1000,1,0
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,22,-12686.0,812,4,0
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,23,-80000.0,1000,18,0
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,24,-30315.0,844,7,0
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,25,-60776.0,1000,15,0
